2020-04-30 12:57:31,805: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:31,821: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:31,837: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:31,862: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:32,069: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:32,094: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:32,109: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:32,126: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:32,181: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:32,630: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:32,645: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:32,661: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:32,685: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:32,709: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:33,293: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:33,326: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:33,341: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:33,350: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:33,366: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:33,382: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:33,693: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:33,709: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:33,725: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:33,734: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:33,749: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:33,797: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:34,021: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:34,037: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:34,053: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:34,069: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:34,118: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:34,621: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:34,637: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:34,653: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:34,669: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:34,685: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:34,717: Mouse scrolled at (742, 307)(0, 1)
2020-04-30 12:57:37,454: Mouse clicked at (1225, 328) with Button.left
2020-04-30 12:57:38,213: Mouse clicked at (884, 744) with Button.left
2020-04-30 12:57:38,687: Mouse clicked at (856, 755) with Button.left
2020-04-30 12:57:39,549: Mouse clicked at (764, 342) with Button.left
2020-05-08 11:20:44,587: Mouse scrolled at (433, 142)(0, -1)
2020-05-08 11:20:44,977: Mouse scrolled at (438, 144)(0, 1)
2020-05-08 11:20:44,997: Mouse scrolled at (438, 144)(0, 1)
2020-05-08 11:20:45,067: Mouse scrolled at (438, 144)(0, 1)
2020-05-08 11:20:45,347: Mouse scrolled at (438, 144)(0, 1)
2020-05-08 11:20:45,426: Mouse scrolled at (438, 144)(0, 1)
2020-05-08 11:20:45,836: Mouse scrolled at (438, 145)(0, 1)
2020-05-08 11:20:46,236: Mouse scrolled at (438, 145)(0, -1)
2020-05-08 11:20:46,276: Mouse scrolled at (438, 145)(0, -1)
2020-05-08 11:20:46,326: Mouse scrolled at (438, 145)(0, -1)
2020-05-08 11:20:46,356: Mouse scrolled at (438, 145)(0, -1)
2020-05-08 11:20:46,416: Mouse scrolled at (438, 145)(0, -1)
2020-05-08 11:20:48,555: Mouse clicked at (989, 49) with Button.left
